error_pattern,solution
How do I install cygwin components from the command line?,Is there a tool in the Cygwin package similar to apt-get on Debian or yum on redhat that allows me to install components from the command line?
How do I comment on the Windows command line?,"In Bash, # is used to comment the following. How do I make a comment on the Windows command line?"
How can I access command line parameters in Rust?,"The Rust tutorial does not explain how to take parameters from the command line. fn main() is only shown with an empty parameter list in all examples.
What is the correct way of accessing command line ..."
"How to resolve ""gpg: command not found"" error during RVM installation?","I have a new mac pro (OS X 10.9.5) that I get to set up from scratch. I want to install RVM and the first thing it says to do is:

Install mpapis public key (might need gpg2 and or sudo)
gpg --..."
How to create a database from shell command in MySQL?,I'm looking for something like createdb in PostgreSQL or any other solution that would allow me to create database with a help of a shell command. Any hints?
Get Folder Size from Windows Command Line,"Is it possible in Windows to get a folder's size from the command line without using any 3rd party tool?

I want the same result as you would get when right clicking the folder in the windows explorer ..."
How to find directory of some command?,"I know that when you are on shell, the only commands that can be used are the ones that can be found on some directory set on PATH.
Even I don't know how to see what dirs are on my PATH variable (and ..."
How to force 'cp' to overwrite directory instead of creating another one inside?,"I'm trying to write a Bash script that will overwrite an existing directory. I have a directory foo/ and I am trying to overwrite bar/ with it. But when I do this:

cp -Rf foo/ bar/
a new bar/foo/ ..."
Comments in command-line Zsh,"I switched from Bash to Zsh on Ubuntu and I'm quite happy about it. However, there is something I really miss and I did not find how to achieve the same thing.
In Bash, whenever I was typing a long ..."
"Windows Explorer ""Command Prompt Here"" [closed]","I frequently find myself with a folder open in Windows, wishing to have a command prompt open with the same working directory.

I am aware of Power Toys ""Command Prompt"", but that only works as a ..."
How can I execute PHP code from the command line?,"I would like to execute a single PHP statement like if(function_exists(""my_func"")) echo 'function exists'; directly with the command line without having to use a separate PHP file.
How is it ..."
How to pass argument to Makefile from command line?,"How to pass argument to Makefile from command line?
I understand I can do
$ make action VAR=""value""
$ value

with Makefile
VAR = ""default""
action:
    @echo $(VAR)

How do I get ..."
"How to ssh to vagrant without actually running ""vagrant ssh""?","I would like to reproduce the way Vagrant logs in to my VM within a shell script using an ssh command, so I create an alias to my Vagrant instance.
What is the command syntax to use the regular ssh ..."
What's the opposite of head? I want all but the first N lines of a file,"Given a text file of unknown length, how can I read, for example all but the first 2 lines of the file? I know tail will give me the last N lines, but I don't know what N is ahead of time.

So for a ..."
How to create Windows EventLog source from command line?,I'm creating an ASP.NET application that will log some stuff to Windows EventLog. To do this an event source has to be created first. This requires administrative priviledges so I cannot do it in the ...
"""No such file or directory"" but it exists","I simply want to run an executable from the command line, ./arm-mingw32ce-g++, but then I get the error message,

bash: ./arm-mingw32ce-g++: No such file or directory

I'm running Ubuntu Linux 10.10. ..."
Command line: piping find results to rm,"I'm trying to work out a command which deletes sql files older than 15 days.

The find part is working but not the rm.

rm -f | find -L /usr/www2/bar/htdocs/foo/rsync/httpdocs/db_backups -type f  \( -..."
Build Android Studio app via command line,"I want to build an Android Studio app (the Gradle build system), but I want to do this via the command line."
Flutter command not found,"Apparently, none of the Flutter commands are working in the terminal of Android Studio which I believe I am trying to run it at the root of my project.
Output:
bash: flutter: command not found"
Get selected subcommand with argparse,"When I use subcommands with python argparse, I can get the selected arguments.
parser = argparse.ArgumentParser()
parser.add_argument('-g', '--global')
subparsers = parser.add_subparsers()   
..."
How do I 'svn add' all unversioned files to SVN?,"I'm looking for a good way to automatically 'svn add' all unversioned files in a working copy to my SVN repository.  

I have a live server that can create a few files that should be under source ..."
Proper usage of Java -D command-line parameters,"When passing a -D parameter in Java, what is the proper way of writing the command-line and then accessing it from code? 

For example, I have tried writing something like this...

if (System...."
Finding the path of the program that will execute from the command line in Windows,Say I have a program X.EXE installed in folder c:\abcd\happy\ on the system. The folder is on the system path. Now suppose there is another program on the system that's also called X.EXE but is ...
How to start up spring-boot application via command line?,I have a spring-boot application which I need to start up by going to the folder directory and start up my web application via command line. I have a class called Application.java and the code inside ...
How do I get the find command to print out the file size with the file name?,"If I issue the find command as follows:
find . -name *.ear

It prints out:
./dir1/dir2/earFile1.ear
./dir1/dir2/earFile2.ear
./dir1/dir3/earFile1.ear

I want to 'print' the name and the size to the ..."
How to change Firebase user login identity from command line (CLI)?,"I'm trying to login to Firebase using login credentials of, let's say, User-Alice.
But when I go through the authorization procedure I get a message saying I'm logged in as User-Bob. This is not ..."
Is there a way to ignore header lines in a UNIX sort?,"I have a fixed-width-field file which I'm trying to sort using the UNIX (Cygwin, in my case) sort utility.
The problem is there is a two-line header at the top of the file which is being sorted to the ..."
How can I search for a multiline pattern in a file?,"I needed to find all the files that contained a specific string pattern. The first solution that comes to mind is using find piped with xargs grep:
find . -iname '*.py' | xargs grep -e 'YOUR_PATTERN'

..."
What is the canonical way to determine commandline vs. http execution of a PHP script?,"I have a PHP script that needs to determine if it's been executed via the command-line or via HTTP, primarily for output-formatting purposes. What's the canonical way of doing this? I had thought it ..."
Show a popup/message box from a Windows batch file,Is there a way to display a message box from a batch file (similar to how xmessage can be used from bash-scripts in Linux)?
an htop-like tool to display disk activity in linux [closed],I am looking for a Linux command-line tool that would report the disk IO activity. Something similar to htop would be really cool.  Has someone heard of something like that?
Using 'diff' (or anything else) to get character-level diff between text files,"I'd like to use 'diff' to get a both line difference between and character difference.
For example, consider:

File 1

abcde
abc
abcccd
File 2

abcde
ab
abccc
Using diff -u I get:

@@ -1,3 +1,3 @@
 ..."
How do I compile a Visual Studio project from the command-line?,"I'm scripting the checkout, build, distribution, test, and commit cycle for a large C++ solution that is using Monotone, CMake, Visual Studio Express 2008, and custom tests.  

All of the other parts ..."
How to merge images in command line? [closed],"I would like to try the CSS Sprite technique to load a few thumbnails as a single image. So I need to ""merge"" a few thumbnails in a single file offline in the server. 

Suppose I have 10 thumbnails of ..."
How to detect if CMD is running as Administrator/has elevated privileges?,"From inside a batch file, I would like to test whether I'm running with Administrator/elevated privileges.

The username doesn't change when ""Run as Administrator"" is selected, so that doesn't work.

..."
Command line progress bar in Java,"I have a Java program running in command line mode.
I would like to display a progress bar, showing the percentage of job done.
The same kind of progress bar you would see using wget under unix.
Is ..."
"mkdir's ""-p"" option","So this doesn't seem like a terribly complicated question I have, but it's one I can't find the answer to.  I'm confused about what the -p option does in Unix.  I used it for a lab assignment while ..."
How do I get the name of the active user via the command line in OS X?,How do I get the name of the active user via the command line in OS X?
How to pass command line argument to gnuplot?,"I want to use gnuplot to draw figure from data file, say foo.data. Currently, I hardcoded the data file name in the command file, say foo.plt, and run command gnuplot foo.plg to plot data. However, I ..."
Does svn have a `revert-all` command?,"If I want to throw away all of my changes, and return to the code that is on the repository, I do the following:

$ rm -fr *
$ svn up
This is easy enough, but I'm wondering if there is a single ..."
Angular - ng: command not found,I'm trying to learn Angular and my knowledge in terminal is beginner. After I installed Angular and then type ng new my-project. I get the response ng: command not found. I've seen other posts that ...
Useless use of cat?,"This is probably in many FAQs - instead of using:

cat file | command
(which is called useless use of cat), correct way supposed to be:

command < file
In the 2nd, ""correct"" way - OS does not ..."
Determine command line working directory when running node bin script,"I am creating a node command line interface. It is installed globally and uses a bin file to execute.

I plan to have a command window open at the root directory of the files I am working on and then ..."
Where is svn.exe in my machine?,"I have Tortoise svn installed on my desktop. I want to perform some tasks using commandline svn.exe? But I am not able to find svn.exe on my machine.

Do we have to install something else to get the ..."
"SVN: Is there a way to mark a file as ""do not commit""?","With TortoiseSVN, I can move a file into the ignore-on-commit changelist, so that when I commit a whole tree, changes to that file do not get committed.

Is there a way to do something like that using ..."
How to append the output to a file?,"How can I do something like command > file in a way that it appends to the file, instead of overwriting?"
Run a JAR file from the command line and specify classpath,I've compiled a JAR file and specified the Main-Class in the manifest (I used the Eclipse Export function). My dependencies are all in a directory labeled lib. I can't seem to get a straight answer on ...
What is your single most favorite command-line trick using Bash? [closed],"We all know how to use <ctrl>-R to reverse search through history, but did you know you can use <ctrl>-S to forward search if you set stty stop """"?  Also, have you ever tried running bind -..."
How do you commit code as a different user?,I want to be able to do this for a script. I'm essentially re-creating the entire version history of some code in Git - it currently uses a different version control system. I need the script to be ...
List of Java processes,"How can I list all Java processes in bash?
I need an command line. I know there is command ps but I don't know what parameters I need to use."
How to beautify JSON in Python?,"Can someone suggest how I can beautify JSON in Python or through the command line?

The only online based JSON beautifier which could do it was: http://jsonviewer.stack.hu/.

I need to use it from ..."
Automatically capture output of last command into a variable using Bash?,"I'd like to be able to use the result of the last executed command in a subsequent command. For example,

$ find . -name foo.txt
./home/user/some/directory/foo.txt
Now let's say I want to be able to ..."
Linux command (like cat) to read a specified quantity of characters,"Is there a command like cat in linux which can return a specified quantity of characters from a file?

e.g., I have a text file like:

Hello world
this is the second line
this is the third line
And I ..."
Grep and Sed Equivalent for XML Command Line Processing,"When doing shell scripting, typically data will be in files of single line records like csv. It's really simple to handle this data with grep and sed. But I have to deal with XML often, so I'd really ..."
How to check if SMTP is working from commandline (Linux) [closed],"I have a SMTP-server, for the purpose of this question lets call it: smtp.mydomain.example.
How do I check if the SMTP-server is in working? Can I send emails manually from Linux commandline?"
Where are sudo incidents reported? [closed],"Attempting something devious on my machine leads to

ryan@debian:~$ sudo EAT_ALL_THE_COOKIES_BEFORE_DINNER
[sudo] password for ryan: 
ryan is not in the sudoers file.  This incident will be reported.
..."
Oh My Zsh - Disable 'Would you like to check for updates' prompt,"Every time I open up terminal on a Mac I get the prompt 
  Would you like to check for updates?
I find it quite annoying. Anyway to stop it from doing so?"
How to zip a file using cmd line?,"I want to zip a directory using the batch file command (Windows XP batch file).
For example, if I want to unzip a file means I can use the jar -xf file.zip(java) bat file command.
Like that I want a ..."
"What's the magic of ""-"" (a dash) in command-line parameters?","Examples:
Create an ISO image and burn it directly to a CD.

mkisofs -V Photos -r /home/vivek/photos | cdrecord -v dev=/dev/dvdrw -  
Change to the previous directory.

cd -
Listen on port 12345 and ..."
Docker command not found when running on Mac,"I'm trying to run the below code as instructed in the docker-graphite-statsd:
docker run -d\
 --name graphite\
 --restart=always\
 -p 80:80\
 -p 2003-2004:2003-2004\
 -p 2023-2024:2023-2024\
 -p 8125:..."
How to start jenkins on different port rather than 8080 using command prompt in Windows?,"I have jenkins.war and I started it from command prompt in Windows as:

java -jar jenkins.war
It was started well and easily browsed as http://localhost:8080

I want to start on 9090 port. How can I ..."
"Why do JVM arguments start with ""-D""?","Why do we need to prefix JVM arguments with -D e.g. when running a jar from the command line? E.g.

java -jar -DmyProp=""Hello World"" myProgram.jar
is used to run myProgram.jar with the system ..."
Express command not found,"For some reason after installing Express globally on my machine with npm install -g express if I cd into a directory and try to run express I get the following error: 

express: command not found. 
..."
Pane Title in Tmux,"On my local machine I've got 3 node.js instances running simultaneously. Each has it's own pane in a tmux window called ""servers"". The problem is that it's not that easy to figure out which ..."
How can I pass command-line arguments to a Perl program?,"I'm working on a Perl script. How can I pass command line parameters to it?

Example:

script.pl ""string1"" ""string2"""
Executing JavaScript without a browser?,"I am looking into Javascript programming without a browser. I want to run scripts from the Linux or Mac OS X command line, much like we run any other scripting language (ruby, php, perl, python...)

$ ..."
recursively add file extension to all files,I have a few directories and sub-directories containing files with no file extension. I want to add .jpg to all the files contained within these directories. I've seen bash scripts for changing the ...
How do I restart nginx only after the configuration test was successful on Ubuntu?,"When I restart the nginx service on a command line on an Ubuntu server, the service crashes when a nginx configuration file has errors. On a multi-site server this puts down all the sites, even the ..."
Running Command Line in Java [duplicate],"Is there a way to run this command line within a Java application?

java -jar map.jar time.rel test.txt debug
I can run it with command but I couldn't do it within Java."
linux command line: du --- how to make it show only total for each directories,"I am doing it by (with coreutils_8.5-1ubuntu6_amd64):

du -sch `find ./ -maxdepth 1 -type d`
I am looking for a simple way (shorter cmd) to find size of subdirectories. Thank you."
Create a shortcut (.lnk file) using PowerShell,"I want to create a shortcut with PowerShell for this executable: 

C:\Program Files (x86)\ColorPix\ColorPix.exe
How can this be done?"
What's the best way to use R scripts on the command line (terminal)?,"It's very convenient to have R scripts for doing simple plots from the command line.  However, running R from bash scripts is not convenient at all.  The ideal might be something like

#!/path/to/R
......"
Maximum Length of Command Line String,"In Windows, what is the maximum length of a command line string? Meaning if I specify a program which takes arguments on the command line such as abc.exe -name=abc 

A simple console application I ..."
Multiplication on command line terminal,"I'm using a serial terminal to provide input into our lab experiment. I found that using 

$ echo ""5X5""
just returns a string of ""5X5"". Is there a command to execute a multiplication operation?"
"Postgres ""psql not recognized as an internal or external command""","For Postgres, I keep getting this error multiple times even though I have already set the location of the bin folder to the path variable in Windows 8. Is there something else I'm missing?"
How to temporarily switch profiles for AWS CLI?,"Updated answer (7/10/2021): For AWS CLI v1, do this:
export AWS_DEFAULT_PROFILE=user2

For AWS CLI v2, the following will work:
export AWS_PROFILE=user2

The full question is below for context:

(1.) ..."
"Perl flags -pe, -pi, -p, -w, -d, -i, -t?","I have seen lots of ways of running Perl code or scripts, with different flags. However, when I try to google for what each flag means, I mainly get results to generic Perl sites and no specific ..."
Xcode project scheme is not currently configured for the test action,I am trying to run an Xcode unit test for my iOS application. I am willing to do it on an iPad connected via USB to a Mac. I am trying to run the test from the command line in order to trigger it from ...
Execute PowerShell Script from C# with Commandline Arguments,"I need to execute a PowerShell script from within C#. The script needs commandline arguments.

This is what I have done so far:

RunspaceConfiguration runspaceConfiguration = RunspaceConfiguration...."
String replacement in batch file,"We can replace strings in a batch file using the following command

set str=""jump over the chair""
set str=%str:chair=table%
These lines work fine and change the string ""jump over the chair"" to ""jump ..."
How do I pass command-line arguments to a WinForms application?,"I have two different WinForms applications, AppA & AppB. Both are running .NET 2.0.

In AppA I want to open AppB, but I need to pass command-line arguments to it. How do I consume the arguments ..."
How to run a python script from IDLE interactive shell?,"How do I run a python script from within the IDLE interactive shell? 

The following throws an error:

>>> python helloworld.py
SyntaxError: invalid syntax"
Windows equivalent of the 'tail' command [duplicate],"Is there a way to simulate the *nix tail command on the Windows command line? I have a file and I want a way to snip off the first n lines of text. For example:

D:\>type file.txt
line one
line two
..."
how to find host name from IP with out login to the host,i need to find the host name of a UNIX host whose IP is known with out login to that UNIX host
Matlab: Running an m-file from command-line,"Suppose that;

I have an m-file at location:
C:\M1\M2\M3\mfile.m

And exe file of the matlab is at this location:
C:\E1\E2\E3\matlab.exe

I want to run this m-file with Matlab, from command-line, for ..."
How do I run a batch script from within a batch script?,"How do I call another batch script from within a batch script?

I want it to execute in an if statement."
"Concatenate text files with Windows command line, dropping leading lines","I need to concatenate some relatively large text files, and would prefer to do this via the command line. Unfortunately I only have Windows, and cannot install new software.

type file1.txt file2.txt &..."
find -exec cmd {} + vs | xargs,"Which one is more efficient over a very large set of files and should be used?

find . -exec cmd {} +
or

find . | xargs cmd
(Assume that there are no funny characters in the filenames)"
Getting the count of unique values in a column in bash,I have tab delimited files with several columns. I want to count the frequency of occurrence of the different values in a column for all the files in a folder and sort them in decreasing order of ...
Adding command line options to CMake,"I'm building a large library using CMake, and I would like users to be able to selectively enable/disable certain parts of my build process.

How can I add command-line options to my CMake build, e.g. ..."
Build Eclipse Java Project from Command Line,"Is there a way to compile an Eclipse-based Java project from the command line? 

I'm trying to automate my build (using FinalBuilder not ant), and I'm neither a Java nor Eclipse expert. I can probably ..."
Create a new cmd.exe window from within another cmd.exe prompt,I am in the process of setting up CruiseControl.NET. The problem I am having is that I am running CC as a console application and when my build completes successfully and executes (using exec) it ...
The way to check a HDFS directory's size?,I know du -sh in common Linux filesystems. But how to do that with HDFS?
Display two files side by side,"How can 2 unsorted text files of different lengths be display side by side (in columns) in a shell 

Given one.txt and two.txt:

$ cat one.txt
apple
pear
longer line than the last two
last line

$ cat ..."
How to suppress specific MSBuild warning,"Is there any way to disable specific MSBuild warning (e.g. MSB3253) when running MSBuild from command line? My build script calls msbuild.exe much the following way:

msbuild.exe MySolution.sln /t:..."
git update-index --assume-unchanged on directory,"git 1.7.12
I want to mark all files below a given directory as assume-unchanged.

git update-index --assume-unchanged dir/ gives ""Ignoring path.""

git update-index --assume-unchanged dir/* ..."
"How to make a python, command-line program autocomplete arbitrary things NOT interpreter","I am aware of how to setup autocompletion of python objects in the python interpreter (on unix).  
Google shows many hits for explanations on how to do this.
Unfortunately, there are so many ..."
Running CMD command in PowerShell,"I am having a bunch of issues with getting a PowerShell command to run. All it is doing is running a command that would be run in a CMD prompt window.

Here is the command:

""C:\Program Files (x86)\..."
How to display modified date time with 'find' command?,"With a find command, I can display directories names with multiple levels. The following command display all directories under /var path with a depth of 2:

find /var -maxdepth 2 -type d;
The result ..."
Capture stdout and stderr into different variables,"Is it possible to store or capture stdout and stderr in different variables, without using a temp file?  Right now I do this to get stdout in out and stderr in err when running some_command, but I'd
..."
Run C++ in command prompt - Windows,"I know that everyone uses an IDE nowadays, but I just find it simpler to write my code in notepad++, compile it using a command prompt command, and run it from there too. At least that works for Java ..."
Start/Stop and Restart Jenkins service on Windows,"I have downloaded ""jenkins-1.501.zip"" from http://jenkins-ci.org/content/thank-you-downloading-windows-installer . 

I have extracted zip file and installed Jenkins on Windows 7 successfully. Jenkins ..."
Clean way to launch the web browser from shell script?,"In a bash script, I need to launch the user web browser. There seems to be many ways of doing this:
$BROWSER
xdg-open
gnome-open on GNOME
www-browser
x-www-browser
...
Is there a more-standard-than-..."
git branch ~(END) on terminal?,"To note, I'm on Oh-My-Zsh and git 2.17. Whenever I type in git branch, instead of showing me the branches of my git, it shows something like this:

~
~
~
~
~
(END)
I can quit this by pressing 'q' on ..."
how do I check in bash whether a file was created more than x time ago?,"I want to check in linux bash  whether a file was created more than x time ago.

let's say the file is called text.txt and the time is 2 hours.

 if [ what? ]
 then
     echo ""old enough""
 fi"
Difference between $? and $LastExitCode in PowerShell,"In PowerShell, what is the difference between $? and $LastExitCode?
I read about automatic variables, and it said:

$?  Contains the execution status of the last operation. It contains TRUE if the ..."
How to copy to system clipboard from tmux output after mouse selection?,"Now for copy to system clipboard I have to select via mouse text in tmux window with Shift key. And then I have to run this command:

tmux save-buffer - | reattach-to-user-namespace pbcopy
Is any ..."
jq Conditional output,"I'm using jq to play with json. I was wondering how to conditionally print something in that.

Say I am interested in a field call geo. I used the following command and find out there is only one ..."
How to pass command-line arguments to a PowerShell ps1 file,"For years, I have used the cmd/DOS/Windows shell and passed command-line arguments to batch files. For example, I have a file, zuzu.bat and in it, I access %1, %2, etc. Now, I want to do the same when ..."
git commit error: pathspec 'commit' did not match any file(s) known to git,"I am trying to upload a Ruby app to Heroku. I start with git init and then I type git add . and then I use git commit -m initial commit. 

Whenever I use git commit -m, I receive an error message ..."
Track the time a command takes in UNIX/LINUX?,"In UNIX/LINUX, is there an easy way to track the time a command takes?"
fatal: This operation must be run in a work tree [duplicate],"I get this error when I try to change branch.

Probably I will give some information of the commands at 

/path/to/git/repo/.
upon command:

git branch
I get following output

* V1.5
  V2.0
  master
..."
"How to empty (""truncate"") a file on linux that already exists and is protected in someway?",I have a file called error.log on my server that I need to frequently truncate. I have rw permissions for the file. Opening the file in vi > deleting all content > saving works (obviously). But when I ...
Run single test from a JUnit class using command-line,"I am trying to find an approach that will allow me to run a single test from a JUnit class using only command-line and java.

I can run the whole set of tests from the class using the following:

java ..."
Get DOS path instead of Windows path,"In a Windows CMD.exe command line, how can I get the full DOS name/short name (a.k.a. 8.3 format) of the directory I am in?
For example, if I am in the directory C:\Program Files\Java\jdk1.6.0_22, I ..."
Is it possible to run python SimpleHTTPServer on localhost only?,"I have a vpn connection and when I'm running python -m SimpleHTTPServer, it serves on 0.0.0.0:8000, which means it can be accessed via localhost and via my real ip.
I don't want robots to scan me and ..."
Execute ssh with password authentication via windows command prompt,"I need to execute ssh from windows command line by providing password in a non interactive manner. I could implement the key based authentication and able to execute the ssh commands just like 

ssh &..."
Launch Pycharm from command line (terminal),"I want to try out PyCharm for sage mathematics development.  Normally I run eclipse to do sage development, but now I want to try it with PyCharm.

To launch eclipse with sage environment variables, ..."
How can I convert an image to grayscale via the command line? [closed],"How can I use sips, imagemagic, or another tool to convert an image to black and white (grayscale) via the command line?"
Number of processors/cores in command line,"I am running the following command to get the number of processors/cores in Linux:

cat /proc/cpuinfo | grep processor | wc -l
It works but it does not look elegant. How would you suggest improve it ?..."
Run a Command Prompt command from Desktop Shortcut,"Is it possible to create a desktop shortcut that, when pressed, will open command prompt and run a pre-defined command?"
Catching Ctrl+C in Java,Is it possible to catch the Ctrl+C signal in a java command-line application? I'd like to clean up some resources before terminating the program.
How to override the `project.build.finalName` Maven property from the command line?,"I have the following plain pom running by Maven 3.0.4.

<?xml version=""1.0"" encoding=""UTF-8""?>
<project xmlns=""http://maven.apache.org/POM/4.0.0""
         xmlns:xsi=""http://www.w3.org/2001/..."
Argument passing strategy - environment variables vs. command line [closed],"Most of the applications we developers write need to be externally parametrized at startup. We pass file paths, pipe names, TCP/IP addresses etc. So far I've been using command line to pass these to ..."
Include additional files in .bashrc,I have some stuff I want to perform in .bashrc which I would prefer to exist in another file on the system. How can I include this file into .bashrc?
"How do I execute any command editing its file (argument) ""in place"" using bash?","I have a file temp.txt, that I want to sort with the sort command in bash.

I want the sorted results to replace the original file.

This doesn't work for example (I get an empty file):

sortx temp...."
How to give arguments to kill via pipe [duplicate],"I need to search for a certain process and kill that process. I wrote a command like this:

ps -e | grep dmn | awk '{print $1}' | kill
Where the process name is dmn. But it is not working. How can I ..."
Getting an error cp: cannot stat when trying to copy files from one folder to another [closed],"I have this directory called ""mock"", which contains 3 directories. I am trying to copy all the items from ""mock"" directory into the ""projweek"" directory using the ..."
